year,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
2013,31.993,1010.7,52.036,5.316,27.239,1098.4,549.34,135.47,12.558,0.83174,67.863
2012,12.91,1021.2,89.302,3.5588,18.929,1048.0,545.61,108.63,10.358,8.2205,86.229
2012,26.139,1014.6,53.954,4.3864,26.078,1094.1,549.82,134.74,12.109,0.20864,69.23
2011,13.896,1013.1,89.908,4.8827,31.603,1099.8,533.4,156.38,13.706,0.42012,64.994
2013,23.763,1013.2,71.909,3.9993,25.284,1089.7,549.97,132.94,12.045,0.17049,64.274
2014,31.657,1003.9,54.206,5.0026,30.428,1100.0,546.17,146.22,13.138,1.3461,56.973
2014,24.786,1011.6,68.723,5.3804,31.138,1099.9,542.52,149.78,13.36,1.5008,55.811
2013,10.502,1013.0,87.577,4.139,32.905,1099.9,529.25,161.34,13.994,1.5573,70.027
2014,17.238,1022.1,90.023,5.5291,30.763,1100.0,539.12,153.91,13.612,1.2645,56.417
2013,8.1792,1012.7,94.547,2.7208,19.332,1042.0,540.76,109.82,10.408,11.016,106.63
2015,25.488,1008.6,81.565,4.2228,28.953,1098.4,547.15,144.93,13.014,0.84555,53.293
2011,28.639,1007.9,61.933,2.9674,18.868,1050.7,549.69,104.4,10.211,2.0732,51.871
2015,27.43,1007.1,56.242,3.8981,24.642,1078.1,550.14,128.05,11.783,2.1251,54.372
2011,14.746,1015.3,74.638,4.047,24.163,1085.0,550.23,133.07,11.792,0.92435,73.357
2014,11.31,1007.3,98.989,3.8521,24.917,1076.9,549.99,134.15,11.928,1.1509,58.832
2013,15.344,1017.6,80.652,3.5892,27.836,1093.0,542.87,142.82,12.679,1.0403,70.049
2015,10.766,1015.3,72.059,3.0494,22.074,1067.0,550.21,124.86,11.256,3.216,63.137
2011,16.958,1017.8,94.206,3.1063,18.27,1045.1,546.14,104.8,10.007,8.0463,91.77
2012,30.352,1010.2,60.76,4.8413,30.035,1100.0,540.96,145.81,13.136,2.1253,75.139
2012,24.244,1013.6,66.898,4.8565,30.655,1100.0,535.94,152.58,13.563,1.4171,66.959
2015,10.449,1017.7,56.959,3.3144,27.087,1079.8,550.39,134.17,11.941,3.3966,69.292
2011,27.117,1015.1,64.724,4.7074,30.497,1100.1,538.16,148.55,13.296,0.089753,52.814
2011,11.611,1006.8,83.691,5.7145,31.722,1099.6,532.3,159.53,13.681,0.43861,65.617
2015,18.008,1010.9,63.199,3.4679,23.978,1076.9,550.14,129.62,11.763,2.0547,52.733
2011,26.108,1018.3,61.547,3.8573,25.647,1093.1,550.22,133.83,12.213,0.92152,65.182
2011,6.0913,1012.6,90.432,3.9517,23.626,1083.6,550.02,133.67,11.804,0.7158,79.313
2011,23.114,1005.0,76.732,3.6797,24.906,1087.3,550.4,132.53,11.942,0.7171,61.446
2012,33.903,1006.5,54.312,4.4153,26.976,1095.9,549.9,133.88,12.318,0.9499,62.245
2015,0.68786,1008.2,79.718,3.0439,23.562,1074.8,550.31,131.24,11.714,3.2272,83.335
2014,24.605,1005.2,90.189,4.1513,22.859,1065.6,550.07,119.51,11.267,2.9962,49.737
2014,25.032,1005.0,95.777,4.0572,24.067,1068.6,548.34,122.31,11.494,3.2774,48.049
2012,26.179,1010.3,77.02,4.4572,25.912,1092.8,549.88,133.83,12.199,1.277,62.037
2013,10.438,1015.0,98.63,3.0997,24.075,1084.5,549.88,133.4,11.886,1.7029,77.409
2015,19.097,1018.5,79.699,3.2563,23.944,1076.4,550.24,128.78,11.743,2.1639,48.53
2011,25.717,1016.2,60.101,4.426,30.69,1099.9,536.45,151.37,13.48,1.517,66.949
2012,21.437,1007.7,90.667,4.0675,22.152,1070.5,550.09,119.71,11.177,4.0175,57.951
2013,20.928,1013.3,84.614,2.5934,19.961,1056.2,550.28,109.45,10.387,5.0815,66.796
2014,24.286,1010.6,99.887,3.5478,20.871,1053.6,550.16,110.66,10.55,4.49,45.954
2015,20.962,1004.0,78.664,4.167,30.421,1099.9,543.54,149.83,13.287,1.3228,55.379
2014,16.213,1011.8,96.829,4.2943,27.755,1095.0,550.51,144.74,12.679,1.2521,63.274
2015,16.235,1020.3,47.007,4.2626,30.986,1099.9,538.77,154.25,13.646,2.1124,55.136
2012,6.9076,1013.6,96.49,3.7464,32.237,1099.8,528.11,164.94,14.05,0.83454,67.135
2014,13.895,1003.3,79.619,3.813,32.16,1100.1,537.08,157.47,13.683,0.72653,59.801
2014,10.063,1016.5,77.418,3.8264,32.599,1099.7,534.11,161.01,13.861,2.2839,59.47
2013,28.884,1010.5,50.394,5.9618,29.845,1100.0,541.15,147.29,13.2,1.6387,65.239
2011,14.738,1020.5,86.233,4.8231,31.079,1100.1,531.69,157.08,13.87,1.3043,61.231
2015,-5.9031,1034.0,68.12,4.3749,36.844,1100.0,517.61,178.31,15.042,1.435,54.794
2011,26.772,1012.4,69.977,4.0792,25.876,1092.8,550.13,133.73,12.223,0.14565,61.108
2013,14.396,1023.3,85.427,3.2712,23.895,1084.1,550.21,131.37,11.861,2.3252,68.578
2013,16.933,1019.9,88.366,4.0937,32.133,1100.2,532.76,155.0,13.765,1.14,69.582
2013,23.457,1009.0,95.489,4.2032,20.246,1058.4,550.01,109.91,10.49,4.7846,48.904
2011,10.146,1011.8,87.791,4.0531,24.286,1086.0,550.04,134.78,11.899,1.4756,77.903
2015,18.604,1020.4,69.172,3.3522,24.16,1078.1,550.38,130.39,11.82,2.2637,50.305
2013,8.7875,1024.8,97.374,4.1909,33.374,1100.0,526.2,163.08,14.224,0.74386,63.683
2013,17.802,1011.2,87.598,3.6218,25.354,1090.2,549.99,135.05,12.05,1.4893,69.393
2014,22.059,1009.5,66.954,4.6669,31.419,1100.0,541.08,153.47,13.462,1.1573,58.154
2013,11.816,1011.9,90.335,2.6824,19.215,1053.7,549.25,110.4,10.337,5.3485,74.923
2012,4.8178,1012.7,88.474,3.3619,24.197,1086.3,549.87,134.66,11.907,1.3232,83.392
2014,17.331,1006.8,77.102,3.3804,24.476,1073.5,550.11,129.98,11.683,1.1255,50.596
2015,20.51,1007.5,52.803,2.7397,23.549,1047.7,550.1,108.24,10.4,4.4592,55.983
2014,19.795,1012.4,84.534,4.6612,32.1,1099.9,538.85,155.24,13.589,0.6704,59.302
2014,19.401,1003.1,82.025,3.5716,23.142,1068.0,549.96,124.02,11.33,2.8028,57.365
2013,25.696,1008.8,59.047,4.0749,25.006,1089.1,549.97,132.62,12.102,1.1142,64.611
2014,29.222,1013.3,64.888,5.3171,30.552,1100.0,544.8,147.3,13.191,1.7332,54.434
2015,26.996,1006.2,58.16,4.3248,30.373,1099.7,544.36,148.64,13.289,2.0282,56.861
2014,15.28,1012.4,75.282,3.8069,25.372,1088.4,550.13,134.46,11.957,1.1318,60.285
2011,9.4762,1021.5,72.986,3.6337,19.584,1043.2,539.6,111.71,10.572,6.615,91.221
2013,11.697,1009.4,99.244,2.5371,18.387,1042.0,545.86,104.73,10.128,7.403,82.462
2012,19.484,1016.1,91.491,4.5347,25.043,1088.9,550.02,133.21,12.095,0.88146,59.921
2014,9.9031,1010.1,99.557,5.1502,35.406,1100.2,527.26,165.47,14.346,0.91378,65.014
2015,28.354,1014.1,65.555,4.3525,29.703,1099.9,545.56,147.0,13.13,1.3916,53.634
2014,22.907,1013.0,85.171,3.7386,24.342,1075.2,549.84,127.03,11.741,1.8225,50.721
2015,24.505,1011.8,48.045,3.7396,34.101,1095.1,549.78,140.37,12.555,1.6094,61.406
2011,22.389,1006.2,76.834,2.8247,17.974,1046.4,550.04,101.83,9.9982,4.3183,65.884
2014,16.355,1012.6,88.287,3.7418,25.062,1080.1,549.99,134.05,11.994,1.0496,63.178
2015,27.871,1011.7,40.313,4.4518,30.932,1099.9,541.6,150.24,13.381,1.4247,49.752
2013,15.419,1016.0,85.924,3.1246,23.855,1081.3,549.8,128.94,11.729,1.2166,59.286
2012,11.811,1007.7,99.738,2.9209,24.255,1085.8,549.95,134.72,11.81,1.3586,73.433
2011,12.125,1017.6,92.133,4.3559,23.891,1084.1,549.6,132.31,11.817,1.6326,74.389
2014,19.81,1016.9,92.967,3.8072,24.357,1076.0,550.17,128.25,11.757,1.7751,47.388
2014,18.566,1018.5,83.449,4.1026,22.6,1066.4,549.96,121.03,11.302,2.8604,59.36
2014,13.247,1024.9,52.88,3.554,25.093,1079.8,549.84,134.2,11.995,1.5734,64.893
2015,20.759,1013.5,70.287,3.2876,24.2,1077.3,550.14,129.74,11.706,2.2362,54.596
2015,21.008,1012.1,86.082,3.5776,22.438,1066.1,550.15,121.15,11.278,3.0933,45.38
2013,8.8717,996.42,94.212,3.198,24.334,1084.2,550.06,134.85,11.704,2.2154,84.16
2013,23.745,1010.8,55.928,3.572,25.639,1091.2,549.59,133.8,12.187,2.0022,72.077
2011,21.03,1010.8,89.1,3.3067,20.426,1061.2,550.05,112.89,10.8,3.1154,59.062
2015,17.78,1006.3,62.652,2.7909,19.168,1047.1,549.93,108.36,10.369,4.992,57.391
2015,34.392,1004.6,44.94,4.3228,29.214,1099.8,548.57,144.65,12.949,1.882,55.675
2013,5.4387,1020.2,95.475,2.8843,23.603,1083.4,549.98,133.98,11.737,1.8087,78.887
2014,22.926,1009.1,70.587,3.8072,25.957,1084.1,549.98,134.85,12.183,1.7384,60.966
2014,21.921,1021.4,69.415,4.2117,23.073,1069.0,550.17,121.77,11.455,2.409,56.677
2014,12.48,1013.9,88.001,3.5731,25.346,1078.4,549.95,134.71,11.873,1.4078,62.633
2012,23.923,1012.5,76.586,4.4819,26.744,1087.2,544.47,134.7,12.284,1.2159,59.439
2014,25.003,1018.5,63.212,5.3643,30.577,1099.9,543.64,149.49,13.282,1.4627,52.694
2015,14.877,1011.9,77.663,2.6835,19.122,1046.9,549.93,108.67,10.334,5.2768,63.502
2012,29.692,1010.2,77.209,4.7853,29.574,1100.0,543.03,144.44,13.075,0.95821,54.183
2011,19.463,1013.9,88.864,4.4947,31.412,1099.9,534.02,154.54,13.638,0.72435,56.734
2014,23.308,1003.9,97.292,4.044,24.877,1076.6,550.42,128.14,11.787,2.1642,47.938
2014,13.25,1009.6,91.734,3.2845,23.533,1067.8,549.97,126.76,11.469,1.3662,59.381
2013,17.927,1007.9,89.795,3.2528,25.299,1087.8,550.22,133.74,12.002,1.8305,67.454
2015,12.004,1001.9,74.856,2.7158,20.048,1047.5,549.43,111.09,10.34,5.6421,72.569
2012,25.356,1012.2,75.909,4.2787,26.315,1094.0,549.64,135.52,12.345,2.5155,66.308
2012,16.816,1013.1,75.198,4.8428,24.784,1088.1,550.35,134.68,12.005,1.56,71.875
2013,21.81,1019.2,89.119,3.2119,25.28,1087.7,550.06,131.64,11.961,1.2651,56.384
2012,17.712,1014.8,88.576,3.5621,19.373,1055.1,550.04,109.48,10.438,4.8762,57.111
2015,18.366,1015.5,90.885,3.9247,24.668,1080.4,550.24,131.72,11.867,2.0372,46.741
2014,12.801,1021.1,96.696,3.706,24.252,1078.4,550.44,133.01,11.839,1.9258,64.905
2015,28.166,1014.9,42.946,3.9176,27.752,1095.8,549.61,139.78,12.609,2.038,60.186
2014,13.966,1013.8,75.78,3.3737,24.289,1072.0,550.15,129.55,11.648,1.5205,63.386
2014,28.01,1003.2,58.459,4.4952,28.362,1095.2,549.72,138.85,12.638,0.66018,52.95
2011,24.65,1004.2,69.253,3.069,20.017,1058.3,549.93,110.8,10.596,1.8364,55.18
2012,20.197,1005.0,83.703,4.0814,24.837,1086.8,550.21,132.85,11.877,1.6855,66.11
2011,10.819,1012.3,90.953,3.6773,23.98,1084.3,549.95,133.68,11.807,0.91709,76.791
2011,3.3894,1017.0,85.03,4.0783,23.51,1085.5,550.07,134.09,11.82,0.93641,60.38
2012,17.548,1007.9,92.77,4.7808,28.817,1099.9,542.68,148.84,13.124,1.1733,71.158
2015,6.4633,1016.4,81.737,4.0495,33.832,1100.0,534.12,162.5,13.99,2.5244,59.663
2011,18.732,1013.2,74.121,5.4672,31.075,1099.8,535.43,152.32,13.59,0.58117,66.878
2013,12.136,1009.9,98.05,2.5457,19.036,1051.2,548.31,109.49,10.4,8.3552,85.452
2013,17.529,1003.4,95.786,3.6651,23.454,1080.0,549.95,127.95,11.549,1.9367,63.847
2011,19.769,1009.3,94.715,3.1801,20.095,1060.1,550.12,112.78,10.749,2.0527,57.537
2014,17.262,1006.1,96.177,3.279,20.898,1054.1,549.66,114.18,10.705,4.528,58.653
2015,24.299,1006.3,74.459,4.147,29.375,1099.7,547.44,146.77,13.042,1.8127,56.118
2013,16.601,1006.3,98.361,3.0493,22.537,1072.0,550.06,122.16,11.275,1.7826,57.361
2012,19.008,986.56,67.52,5.8391,31.306,1099.6,538.16,154.44,13.4,0.45228,71.929
2015,16.327,1015.9,64.172,3.4325,24.044,1077.2,550.4,130.22,11.85,3.0748,56.737
2011,27.719,1014.7,68.473,3.6423,22.628,1074.8,550.25,120.36,11.396,1.0552,52.62
2013,9.4403,1015.9,95.556,2.8666,22.254,1068.5,546.4,124.99,11.28,5.7389,90.033
2014,30.918,1002.8,56.258,4.9762,30.401,1099.8,546.13,146.4,13.085,1.1601,57.2
2011,24.075,1012.7,72.422,3.9224,25.543,1091.5,549.86,133.79,12.137,0.30437,60.118
2014,18.932,1025.8,73.641,4.2315,23.618,1074.1,550.16,126.37,11.549,2.4473,60.217
2015,19.649,1015.1,82.764,4.3324,30.868,1099.9,541.39,151.9,13.491,1.8106,49.737
2012,22.864,1007.8,86.227,3.4597,20.262,1059.5,549.79,111.78,10.612,3.6144,49.173
2012,22.006,1013.8,89.744,4.4084,25.157,1089.7,549.97,133.46,11.937,1.204,59.359
2015,23.635,1010.1,85.966,4.5056,30.521,1100.0,543.14,149.03,13.317,0.84758,51.598
2014,20.884,1011.1,96.414,3.8726,24.721,1077.4,549.6,128.54,11.875,2.8755,58.247
2011,4.2231,1024.2,91.41,4.7751,29.212,1100.0,539.6,156.34,13.265,0.93168,75.16
2012,6.6479,1016.7,83.488,5.936,34.306,1100.1,525.19,166.08,14.289,0.45899,67.048
2011,16.346,1000.1,76.848,4.3347,24.76,1087.1,549.84,134.75,11.921,1.5867,77.256
2013,5.1191,1015.9,93.634,3.004,23.62,1083.2,550.07,134.03,11.749,2.8925,84.176
2012,7.1695,1021.8,79.807,4.5282,24.602,1087.6,550.0,136.67,11.959,1.1199,82.113
2015,12.401,1029.6,77.245,3.8324,27.235,1084.5,542.45,141.43,12.595,1.8276,57.04
2011,19.135,1004.6,69.126,3.0122,19.884,1058.4,549.86,112.38,10.696,2.0283,64.237
2011,25.411,1012.1,69.025,3.7799,25.497,1091.4,549.74,134.21,12.127,0.90646,62.355
2011,14.257,1021.3,85.711,3.5077,24.069,1086.8,550.14,133.82,11.938,1.1195,72.308
2014,18.287,1006.7,70.746,3.8329,26.045,1090.6,550.1,135.39,12.023,1.4886,65.838
2014,23.318,1002.4,74.644,4.7027,30.789,1100.0,544.0,150.89,13.267,1.3052,58.881
2015,3.0543,1033.9,84.957,3.0913,21.799,1067.9,549.83,126.35,11.367,3.9442,70.357
2015,12.267,1005.8,66.532,3.1685,25.211,1074.4,550.03,130.45,11.634,4.6053,67.144
2013,11.994,1005.8,93.82,2.5052,18.939,1051.3,548.99,109.16,10.301,7.6762,87.806
2014,25.463,1016.6,52.927,4.627,31.434,1100.0,541.14,153.23,13.492,1.4307,56.842
2012,5.6602,1018.3,86.968,3.8404,21.079,1028.5,523.86,112.02,10.963,43.428,99.237
2011,9.2785,1020.3,99.087,4.4709,24.097,1085.9,550.43,133.93,11.802,1.5255,75.021
2011,27.404,1018.4,52.175,3.879,25.758,1093.2,550.11,133.83,12.232,0.66644,66.661
2012,22.315,1003.6,93.256,3.8768,20.147,1057.5,549.93,110.77,10.445,5.0591,53.066
2013,24.054,1010.7,77.408,4.2633,22.685,1036.2,526.76,109.67,11.15,35.045,74.376
2015,16.017,1015.2,73.502,3.1006,22.007,1065.6,550.0,122.04,11.21,3.2924,56.472
2015,5.5855,1018.8,66.824,3.0238,23.688,1069.4,549.79,127.75,11.45,3.884,76.466
2015,7.1961,1009.9,65.087,2.7265,22.157,1059.1,544.67,123.81,11.25,6.7175,95.788
2013,29.912,1011.4,58.424,5.4926,28.186,1097.5,545.38,140.96,12.684,1.6908,63.836
2015,33.867,1008.6,37.809,4.2913,26.954,1088.2,548.17,133.52,12.383,2.152,58.213
2014,10.511,1015.3,79.672,3.2751,27.633,1098.2,549.27,149.06,12.822,2.6078,70.829
2012,7.3346,1007.7,86.45,4.0771,23.65,1083.1,549.96,133.68,11.858,1.7781,80.528
2015,21.741,1007.2,74.782,4.1321,30.159,1100.1,544.84,149.75,13.232,1.3787,53.54
2012,13.96,1013.2,85.863,4.2266,24.207,1085.5,550.03,132.76,11.839,1.1681,66.312
2015,14.667,1010.9,86.982,3.3167,23.769,1076.3,550.07,130.42,11.759,2.0913,51.812
2011,17.915,1007.0,73.919,3.6831,25.165,1089.2,549.84,134.34,11.992,1.1038,72.293
2014,23.134,1010.6,75.799,5.3645,31.122,1099.8,542.6,149.89,13.353,1.3212,54.19
2014,22.109,1010.0,79.728,3.856,24.552,1076.3,550.14,128.09,11.787,1.9095,54.075
2015,9.9418,1017.7,75.717,3.0744,24.149,1078.9,550.14,133.92,11.825,3.4303,69.515
2011,31.726,1006.5,54.299,3.5678,22.787,1074.8,549.76,119.72,11.313,0.96626,53.504
